year,constructorRef_mapped,surname,race_count
1950.0,alfa,Fangio,7
1950.0,alfa,Fagioli,6
1950.0,alfa,Farina,6
1951.0,alfa,Fangio,8
1951.0,alfa,Farina,8
1963.0,alfa,de Klerk,1
1965.0,alfa,de Klerk,1
1979.0,alfa,Giacomelli,4
1979.0,alfa,Brambilla,3
1980.0,alfa,Giacomelli,14
1980.0,alfa,Depailler,8
1981.0,alfa,Andretti,15
1981.0,alfa,Giacomelli,15
1982.0,alfa,Giacomelli,16
1982.0,alfa,de Cesaris,16
1983.0,alfa,Baldi,15
1983.0,alfa,de Cesaris,15
1984.0,alfa,Cheever,16
1984.0,alfa,Patrese,16
1985.0,alfa,Cheever,16
1985.0,alfa,Patrese,16
1993.0,alfa,Järvilehto,16
1993.0,alfa,Wendlinger,16
1994.0,alfa,Frentzen,16
1994.0,alfa,de Cesaris,9
1995.0,alfa,Frentzen,17
1995.0,alfa,Boullion,11
1996.0,alfa,Frentzen,16
1996.0,alfa,Herbert,16
1997.0,alfa,Herbert,17
1997.0,alfa,Morbidelli,8
1998.0,alfa,Alesi,16
1998.0,alfa,Herbert,16
1999.0,alfa,Alesi,16
1999.0,alfa,Diniz,16
2000.0,alfa,Diniz,17
2000.0,alfa,Salo,17
2001.0,alfa,Heidfeld,17
2001.0,alfa,Räikkönen,17
2002.0,alfa,Heidfeld,17
2002.0,alfa,Massa,16
2003.0,alfa,Frentzen,16
2003.0,alfa,Heidfeld,16
2004.0,alfa,Fisichella,18
2004.0,alfa,Massa,18
2005.0,alfa,Massa,19
2005.0,alfa,Villeneuve,19
2006.0,alfa,Heidfeld,18
2006.0,alfa,Villeneuve,12
2007.0,alfa,Heidfeld,17
2007.0,alfa,Kubica,16
2008.0,alfa,Heidfeld,18
2008.0,alfa,Kubica,18
2009.0,alfa,Heidfeld,17
2009.0,alfa,Kubica,17
2010.0,alfa,Kobayashi,19
2010.0,alfa,de la Rosa,14
2011.0,alfa,Kobayashi,19
2011.0,alfa,Pérez,18
2012.0,alfa,Kobayashi,20
2012.0,alfa,Pérez,20
2013.0,alfa,Gutiérrez,19
2013.0,alfa,Hülkenberg,19
2014.0,alfa,Gutiérrez,19
2014.0,alfa,Sutil,19
2015.0,alfa,Ericsson,19
2015.0,alfa,Nasr,19
2016.0,alfa,Ericsson,21
2016.0,alfa,Nasr,21
2017.0,alfa,Ericsson,20
2017.0,alfa,Wehrlein,18
2018.0,alfa,Ericsson,21
2018.0,alfa,Leclerc,21
2019.0,alfa,Giovinazzi,21
2019.0,alfa,Räikkönen,21
2020.0,alfa,Giovinazzi,17
2020.0,alfa,Räikkönen,17
1985.0,alphatauri,Martini,15
1986.0,alphatauri,de Cesaris,16
1986.0,alphatauri,Nannini,15
1987.0,alphatauri,Campos,16
1987.0,alphatauri,Nannini,16
1988.0,alphatauri,Pérez-Sala,16
1988.0,alphatauri,Martini,11
1989.0,alphatauri,Pérez-Sala,16
1989.0,alphatauri,Martini,15
1990.0,alphatauri,Martini,16
1990.0,alphatauri,Barilla,14
1991.0,alphatauri,Martini,16
1991.0,alphatauri,Morbidelli,15
1992.0,alphatauri,Morbidelli,16
1992.0,alphatauri,Fittipaldi,13
1993.0,alphatauri,Fittipaldi,14
1993.0,alphatauri,Barbazza,8
1993.0,alphatauri,Martini,8
1994.0,alphatauri,Alboreto,16
1994.0,alphatauri,Martini,16
1995.0,alphatauri,Badoer,17
1995.0,alphatauri,Martini,9
1996.0,alphatauri,Lamy,16
1996.0,alphatauri,Fisichella,8
1997.0,alphatauri,Katayama,17
1997.0,alphatauri,Marques,10
1998.0,alphatauri,Nakano,16
1998.0,alphatauri,Tuero,16
1999.0,alphatauri,Gené,16
1999.0,alphatauri,Badoer,15
2000.0,alphatauri,Gené,17
2000.0,alphatauri,Mazzacane,17
2001.0,alphatauri,Alonso,17
2001.0,alphatauri,Marques,14
2002.0,alphatauri,Webber,17
2002.0,alphatauri,Yoong,13
2003.0,alphatauri,Verstappen,16
2003.0,alphatauri,Wilson,11
2004.0,alphatauri,Baumgartner,18
2004.0,alphatauri,Bruni,18
2005.0,alphatauri,Albers,19
2005.0,alphatauri,Friesacher,11
2006.0,alphatauri,Liuzzi,18
2006.0,alphatauri,Speed,18
2007.0,alphatauri,Liuzzi,17
2007.0,alphatauri,Speed,10
2008.0,alphatauri,Bourdais,18
2008.0,alphatauri,Vettel,18
2009.0,alphatauri,Buemi,17
2009.0,alphatauri,Bourdais,9
2010.0,alphatauri,Alguersuari,19
2010.0,alphatauri,Buemi,19
2011.0,alphatauri,Alguersuari,19
2011.0,alphatauri,Buemi,19
2012.0,alphatauri,Ricciardo,20
2012.0,alphatauri,Vergne,20
2013.0,alphatauri,Ricciardo,19
2013.0,alphatauri,Vergne,19
2014.0,alphatauri,Kvyat,19
2014.0,alphatauri,Vergne,19
2015.0,alphatauri,Sainz,19
2015.0,alphatauri,Verstappen,19
2016.0,alphatauri,Sainz,21
2016.0,alphatauri,Kvyat,17
2017.0,alphatauri,Sainz,16
2017.0,alphatauri,Kvyat,15
2018.0,alphatauri,Gasly,21
2018.0,alphatauri,Hartley,21
2019.0,alphatauri,Kvyat,21
2019.0,alphatauri,Albon,12
2020.0,alphatauri,Gasly,17
2020.0,alphatauri,Kvyat,17
1950.0,ferrari,Ascari,5
1950.0,ferrari,Villoresi,3
1950.0,ferrari,Whitehead,3
1951.0,ferrari,Ascari,8
1951.0,ferrari,Villoresi,7
1952.0,ferrari,Farina,8
1952.0,ferrari,Ascari,7
1953.0,ferrari,Ascari,9
1953.0,ferrari,Villoresi,9
1954.0,ferrari,González,9
1954.0,ferrari,Hawthorn,9
1955.0,ferrari,Trintignant,8
1955.0,ferrari,Farina,5
1956.0,ferrari,Fangio,10
1956.0,ferrari,Castellotti,9
1957.0,ferrari,Collins,8
1957.0,ferrari,Hawthorn,7
1958.0,ferrari,Hawthorn,10
1958.0,ferrari,Collins,7
1959.0,ferrari,Brooks,7
1959.0,ferrari,Hill,7
1960.0,ferrari,Hill,8
1960.0,ferrari,von Trips,8
1961.0,ferrari,Ginther,7
1961.0,ferrari,Hill,7
1961.0,ferrari,von Trips,7
1962.0,ferrari,Hill,6
1962.0,ferrari,Rodríguez,5
1963.0,ferrari,Surtees,10
1963.0,ferrari,Bandini,4
1964.0,ferrari,Bandini,10
1964.0,ferrari,Surtees,10
1965.0,ferrari,Bandini,10
1965.0,ferrari,Surtees,8
1966.0,ferrari,Bandini,7
1966.0,ferrari,Parkes,4
1967.0,ferrari,Amon,10
1967.0,ferrari,Parkes,2
1967.0,ferrari,Scarfiotti,2
1968.0,ferrari,Amon,11
1968.0,ferrari,Ickx,10
1969.0,ferrari,Amon,6
1969.0,ferrari,Rodríguez,5
1970.0,ferrari,Ickx,13
1970.0,ferrari,Regazzoni,8
1971.0,ferrari,Ickx,11
1971.0,ferrari,Regazzoni,11
1972.0,ferrari,Ickx,12
1972.0,ferrari,Regazzoni,10
1973.0,ferrari,Ickx,10
1973.0,ferrari,Merzario,9
1974.0,ferrari,Lauda,15
1974.0,ferrari,Regazzoni,15
1975.0,ferrari,Lauda,14
1975.0,ferrari,Regazzoni,14
1976.0,ferrari,Regazzoni,15
1976.0,ferrari,Lauda,14
1977.0,ferrari,Reutemann,17
1977.0,ferrari,Lauda,15
1978.0,ferrari,Reutemann,16
1978.0,ferrari,Villeneuve,16
1979.0,ferrari,Scheckter,15
1979.0,ferrari,Villeneuve,15
1980.0,ferrari,Scheckter,14
1980.0,ferrari,Villeneuve,14
1981.0,ferrari,Pironi,15
1981.0,ferrari,Villeneuve,15
1982.0,ferrari,Pironi,12
1982.0,ferrari,Tambay,8
1983.0,ferrari,Arnoux,15
1983.0,ferrari,Tambay,15
1984.0,ferrari,Alboreto,16
1984.0,ferrari,Arnoux,16
1985.0,ferrari,Alboreto,16
1985.0,ferrari,Johansson,15
1986.0,ferrari,Alboreto,16
1986.0,ferrari,Johansson,16
1987.0,ferrari,Alboreto,16
1987.0,ferrari,Berger,16
1988.0,ferrari,Alboreto,16
1988.0,ferrari,Berger,16
1989.0,ferrari,Berger,15
1989.0,ferrari,Mansell,15
1990.0,ferrari,Mansell,16
