raceId,url,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
1,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,Sunny with temperatures reaching up to 27 °C (81 °F)[2],1,0,0,0,0
2,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,"Dry start, with heavy rain and thunderstorm/monsoon later",0,0,1,1,0
3,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,Rain,0,0,0,1,0
4,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,Sunny,1,0,0,0,0
5,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix,"Warm, Sunny",1,0,0,0,0
6,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix,Sunny,1,0,0,0,0
7,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix,Sunny,1,0,0,0,0
8,http://en.wikipedia.org/wiki/2009_British_Grand_Prix,"Dry, overcast",0,0,1,0,1
9,http://en.wikipedia.org/wiki/2009_German_Grand_Prix,Sunny and overcast,1,0,0,0,1
10,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix,Sunny25 °C (77 °F)[2],1,0,0,0,0
11,http://en.wikipedia.org/wiki/2009_European_Grand_Prix,Hot and dry with temperatures reaching up to 33 °C (91 °F)[1],1,0,1,0,0
12,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix,Clear but Mild,1,0,0,0,0
13,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix,Mainly sunny,1,0,0,0,0
14,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix,Hot and Dry,1,0,1,0,0
15,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix,"Sunny, Dry",1,0,1,0,0
16,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix,Partially cloudy and dry,0,0,1,0,1
17,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix,Dry,0,0,1,0,0
18,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,"Sunny,very hot with air temperature 39°C.",1,0,0,0,0
19,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,"Sunny, partly cloudy",1,0,0,0,1
20,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,Dry,0,0,1,0,0
21,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,Sunny,1,0,0,0,0
22,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,Sunny with temperatures reaching up to 17 °C (63 °F)[3],1,0,0,0,0
23,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix,"Wet, drying later.",0,0,1,1,0
24,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[1],1,0,0,0,0
25,http://en.wikipedia.org/wiki/2008_French_Grand_Prix,Dry at first; light rain in the final stages,0,0,1,1,0
26,http://en.wikipedia.org/wiki/2008_British_Grand_Prix,"Rain, later drying",0,0,1,1,0
27,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,"Cloudy, later sunny[1]",1,0,0,0,1
28,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)",1,0,0,0,0
29,http://en.wikipedia.org/wiki/2008_European_Grand_Prix,Sunny,1,0,0,0,0
30,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix,"Cloudy, rain in last 3 laps",0,0,0,1,1
31,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix,"Heavy rain, dry towards the end",0,0,1,1,0
32,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix,"Dry, Air Temp: 28°C, Wind Speed: 2.2m/s, Humidity: 79%",0,0,1,0,0
33,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix,Cloudy with temperatures reaching up to 17 °C (63 °F)[1],0,0,0,0,1
34,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix,Dry,0,0,1,0,0
35,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix,"Rain at beginning and end, otherwise drying",0,0,1,1,0
36,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix,Clear with temperatures reaching up to 21 °C (70 °F)[1],1,0,0,0,0
37,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix,Sunny[1],1,0,0,0,0
38,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix,"Sunny, dry, windy",1,0,1,0,0
39,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix,Sunny and warm,1,0,0,0,0
40,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)",0,0,0,0,1
41,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1],1,0,0,0,0
42,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix,Warm (33C/91F) and clear,1,0,0,0,0
43,http://en.wikipedia.org/wiki/2007_French_Grand_Prix,Cloudy,0,0,0,0,1
44,http://en.wikipedia.org/wiki/2007_British_Grand_Prix,Dry and sunny,1,0,1,0,0
45,http://en.wikipedia.org/wiki/2007_European_Grand_Prix,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.,0,0,1,1,0
46,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix,"Sunny, temperatures reaching up to 27 °C (81 °F)[1]",1,0,0,0,0
47,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix,Sunny,1,0,0,0,0
48,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix,Sunny,1,0,0,0,0
49,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix,"Partly cloudy, mild and dry",1,0,1,0,1
50,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix,Very heavy rain,0,0,0,1,0
51,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix,Light Rain at the start before drying out. Light rain in the middle of the race before drying.,0,0,1,1,0
52,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix,"37 °C (Air), 63 °C (Track)",0,0,0,0,0
